# s_m,x_m,y_m,psi_rad,kappa_radpm,w_tr_right_m,w_tr_left_m
21.91948117,-16.16259212,11.18377555,2.78258017,0.00012814,6.00000000,6.00000000
22.01957012,-16.25630009,11.21894106,2.78259191,0.00006151,6.00000000,6.00000000
22.11965908,-16.35000833,11.25410582,2.78259248,-0.00006884,6.00000000,6.00000000
22.21974803,-16.44371634,11.28927122,2.78257813,-0.00021824,6.00000000,6.00000000
22.31983699,-16.53742359,11.32443867,2.78254880,-0.00036800,6.00000000,6.00000000
22.41992594,-16.63112956,11.35960958,2.78250447,-0.00048525,6.00000000,6.00000000
22.52001490,-16.72483372,11.39478535,2.78245166,-0.00041955,6.00000000,6.00000000
22.62010385,-16.81853602,11.42996618,2.78242048,-0.00005874,6.00000000,6.00000000
22.72019281,-16.91223802,11.46514780,2.78243990,0.00047345,6.00000000,6.00000000
22.82028176,-17.00594167,11.50032498,2.78251526,0.00103238,6.00000000,6.00000000
22.92037072,-17.09964891,11.53549246,2.78264656,0.00158300,6.00000000,6.00000000
23.02045967,-17.19336168,11.57064499,2.78283214,0.00183304,6.00000000,6.00000000
23.12054863,-17.28708182,11.60577763,2.78301349,0.00115912,6.00000000,6.00000000
23.22063758,-17.38080719,11.64089611,2.78306417,-0.00051543,6.00000000,6.00000000
23.32072654,-17.47453085,11.67601924,2.78291031,-0.00258016,6.00000000,6.00000000
23.42081549,-17.56824553,11.71116661,2.78254768,-0.00466609,6.00000000,6.00000000
23.52090445,-17.66194399,11.74635781,2.78197627,-0.00653153,6.00000000,6.00000000
23.62099340,-17.75561896,11.78161245,2.78124021,-0.00638967,6.00000000,6.00000000
23.72108236,-17.84926626,11.81694183,2.78069720,-0.00221652,6.00000000,6.00000000
23.82117132,-17.94290349,11.85229841,2.78079651,0.00488194,6.00000000,6.00000000
23.92126027,-18.03655770,11.88760915,2.78167445,0.01266408,6.00000000,6.00000000
24.02134923,-18.13025595,11.92280091,2.78333158,0.02044542,6.00000000,6.00000000
24.12143818,-18.22402531,11.95780056,2.78576717,0.02744980,6.00000000,6.00000000
24.22152714,-18.31789283,11.99253510,2.78882642,0.03120442,6.00000000,6.00000000
24.32161609,-18.41187464,12.02696039,2.79201361,0.03054670,6.00000000,6.00000000
24.42170505,-18.50596280,12.06109629,2.79494120,0.02772384,6.00000000,6.00000000
24.52179400,-18.60014611,12.09497127,2.79756331,0.02467202,6.00000000,6.00000000
24.62188296,-18.69441340,12.12861379,2.79987999,0.02164825,6.00000000,6.00000000
24.72197191,-18.78875346,12.16205231,2.80189681,0.01910578,6.00000000,6.00000000
24.82206087,-18.88315552,12.19531425,2.80370454,0.01777651,6.00000000,6.00000000
24.92214982,-18.97761491,12.22841114,2.80545528,0.01755002,6.00000000,6.00000000
25.02223878,-19.07213182,12.26134197,2.80721767,0.01767551,6.00000000,6.00000000
25.12232773,-19.16670653,12.29410544,2.80899352,0.01780994,6.00000000,6.00000000
25.22241669,-19.26133936,12.32670023,2.81078283,0.01791465,6.00000000,6.00000000
25.32250564,-19.35603060,12.35912500,2.81257964,0.01783523,6.00000000,6.00000000
25.42259460,-19.45078013,12.39137956,2.81435305,0.01744391,6.00000000,6.00000000
25.52268355,-19.54558611,12.42346839,2.81607153,0.01686240,6.00000000,6.00000000
25.62277251,-19.64044622,12.45539720,2.81772853,0.01624822,6.00000000,6.00000000
25.72286146,-19.73535815,12.48717171,2.81932406,0.01563555,6.00000000,6.00000000
25.82295042,-19.83031959,12.51879764,2.82085842,0.01509017,6.00000000,6.00000000
25.92303937,-19.92532825,12.55028063,2.82234478,0.01476425,6.00000000,6.00000000
26.02312833,-20.02038280,12.58162396,2.82381390,0.01468784,6.00000000,6.00000000
26.12321728,-20.11548326,12.61282756,2.82528496,0.01471382,6.00000000,6.00000000
26.22330624,-20.21062974,12.64389114,2.82675928,0.01474630,6.00000000,6.00000000
26.32339519,-20.30582237,12.67481438,2.82823684,0.01475589,6.00000000,6.00000000
26.42348415,-20.40106125,12.70559697,2.82971308,0.01453181,6.00000000,6.00000000
26.52357310,-20.49634615,12.73623947,2.83114579,0.01381658,6.00000000,6.00000000
26.62366206,-20.59167396,12.76674940,2.83247886,0.01272808,6.00000000,6.00000000
26.72375101,-20.68704016,12.79713772,2.83369367,0.01154616,6.00000000,6.00000000
26.82383997,-20.78244022,12.82741544,2.83479014,0.01036464,6.00000000,6.00000000
26.92392892,-20.87786961,12.85759355,2.83576845,0.00948576,6.00000000,6.00000000
27.02401788,-20.97332382,12.88768300,2.83668898,0.00996395,6.00000000,6.00000000
27.12410683,-21.06880292,12.91768357,2.83776301,0.01236802,6.00000000,6.00000000
27.22419579,-21.16431853,12.94756698,2.83916479,0.01575825,6.00000000,6.00000000
27.32428474,-21.25988408,12.97730060,2.84091746,0.01926299,6.00000000,6.00000000
27.42437370,-21.35551294,13.00685181,2.84302081,0.02264555,6.00000000,6.00000000
27.52446265,-21.45121854,13.03618801,2.84545060,0.02359851,6.00000000,6.00000000
27.62455161,-21.54701244,13.06528102,2.84774471,0.01814225,6.00000000,6.00000000
27.72464056,-21.64287266,13.09418412,2.84908228,0.00660810,6.00000000,6.00000000
27.82472952,-21.73874783,13.12302189,2.84906751,-0.00697029,6.00000000,6.00000000
27.92481847,-21.83458559,13.15192132,2.84768698,-0.02062346,6.00000000,6.00000000
28.02490743,-21.93033361,13.18100940,2.84493915,-0.03204575,6.00000000,6.00000000
28.12499638,-22.02593951,13.21041311,2.84127213,-0.02830778,6.00000000,6.00000000
28.22508534,-22.12138542,13.24017575,2.83927256,0.00219952,6.00000000,6.00000000
28.32517429,-22.21681677,13.26994394,2.84171243,0.04968792,6.00000000,6.00000000
28.42526325,-22.31242736,13.29924688,2.84921898,0.10020394,6.00000000,6.00000000
28.52535221,-22.40841100,13.32761375,2.86177104,0.15002245,6.00000000,6.00000000
28.62544116,-22.50496149,13.35457372,2.87925016,0.17647674,6.00000000,6.00000000
28.72553012,-22.60226682,13.37967012,2.89709779,0.12432417,6.00000000,6.00000000
28.82561907,-22.70017311,13.40327629,2.90413711,-0.02016074,6.00000000,6.00000000
28.92570803,-22.79800082,13.42704196,2.89306205,-0.20491881,6.00000000,6.00000000
29.02579698,-22.89502569,13.45272545,2.86311689,-0.39523116,6.00000000,6.00000000
29.12588594,-22.99052345,13.48208510,2.81394550,-0.58421665,6.00000000,6.00000000
29.22597489,-23.08376981,13.51687922,2.74616962,-0.72570977,6.00000000,6.00000000
29.32606385,-23.17408271,13.55870429,2.66867444,-0.76143650,6.00000000,6.00000000
29.42615280,-23.26117372,13.60764661,2.59374686,-0.71539877,6.00000000,6.00000000
29.52624176,-23.34496891,13.66296968,2.52546741,-0.65083058,6.00000000,6.00000000
29.62633071,-23.42539648,13.72392873,2.46346495,-0.59078013,6.00000000,6.00000000
29.72641967,-23.50238467,13.78977900,2.40720628,-0.54092875,6.00000000,6.00000000
29.82650862,-23.57586158,13.85977584,2.35518296,-0.51952386,6.00000000,6.00000000
29.92659758,-23.64564172,13.93332616,2.30320908,-0.53732666,6.00000000,6.00000000
30.02668653,-23.71120657,14.01028091,2.24762204,-0.57790638,6.00000000,6.00000000
30.12677549,-23.77197693,14.09057201,2.18752498,-0.62468556,6.00000000,6.00000000
30.22686444,-23.82737358,14.17413138,2.12257379,-0.67339754,6.00000000,6.00000000
30.32695340,-23.87681733,14.26089093,2.05272567,-0.69321509,6.00000000,6.00000000
30.42704235,-23.91976755,14.35077074,1.98380744,-0.62247321,6.00000000,6.00000000
30.52713131,-23.95677630,14.44335573,1.92812029,-0.45641080,6.00000000,6.00000000
30.62722026,-23.98961614,14.53785645,1.89244408,-0.25598052,6.00000000,6.00000000
30.72730922,-24.02012392,14.63346374,1.87687864,-0.05608456,6.00000000,6.00000000
30.82739817,-24.05013646,14.72936845,1.88121719,0.13731093,6.00000000,6.00000000
30.92748713,-24.08149060,14.82476140,1.90436526,0.27885670,6.00000000,6.00000000
31.02757608,-24.11581980,14.91892122,1.93703814,0.31349508,6.00000000,6.00000000
31.12766504,-24.15322407,15.01178849,1.96712005,0.26824786,6.00000000,6.00000000
31.22775399,-24.19310405,15.10360566,1.99073544,0.20346195,6.00000000,6.00000000
31.32784295,-24.23485679,15.19461672,2.00784863,0.13854735,6.00000000,6.00000000
31.42793190,-24.27787936,15.28506569,2.01846956,0.07827734,6.00000000,6.00000000
31.52802086,-24.32156911,15.37519644,2.02351803,0.03935876,6.00000000,6.00000000
31.62810981,-24.36549180,15.46518392,2.02634831,0.03144094,6.00000000,6.00000000
